,0
shangai,0.1208825176163001
btc,1.7315882460588805
crude oil,0.2593044281912041
euro,0.043094416499082175
gold,0.1722608640365906
silver,0.190352941194055
ftse,0.0812329443539309
spy,0.24975867164883064
hsi,0.1150614140727515
nasdaq,0.37326497672385334
nikkei,0.17066414278492342
rates,0.4059402588020771
open,1.7314677931748337
high,1.734990390176475
low,1.7260526885323484
MA4,1.7311485685384793
MA50,1.7249948086614981
MA80,1.7189493731747905
stochRSI,35.09159142919138
RSI,17.86332215283645
btc_std_dev,0.0031725343821735565
std_dif,1.7316331916812493
vol_btc,2.880636582433607
hashrate,2.2458886583179996
difficulty,2.256460867258987
transactions,203783266.03603727
t_cost,1.1280359618408493
y_c,0.7073703811141332
